,0,1,2
167,https://www.chess.com/live/game/2935827875,https://www.chess.com/openings/Queens-Pawn-Opening-St-George-Defense,Rodrigox297 won by resignation
168,https://www.chess.com/live/game/2936860403,https://www.chess.com/openings/Queens-Pawn-Opening-1...d5,willqqqq won by checkmate
169,https://www.chess.com/live/game/2937644509,https://www.chess.com/openings/Scandinavian-Defense,RichaJohri won by checkmate
170,https://www.chess.com/live/game/2939179023,https://www.chess.com/openings/Center-Game,wopper2410 won by checkmate
171,https://www.chess.com/live/game/2939314530,https://www.chess.com/openings/Center-Game,nvnprasanth won by resignation
172,https://www.chess.com/live/game/2939503339,https://www.chess.com/openings/Vienna-Game,Game drawn by repetition
173,https://www.chess.com/live/game/2939755894,https://www.chess.com/openings/Queens-Pawn-Opening-Zukertort-Variation,SeyyedMahdiMiri won by resignation
174,https://www.chess.com/live/game/2939868122,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Elephant-Gambit-3.Nxe5,fun_man won by resignation
175,https://www.chess.com/live/game/2940508927,https://www.chess.com/openings/Queens-Pawn-Opening-Chigorin-Variation,IamMatthews won by checkmate
176,https://www.chess.com/live/game/2941335102,https://www.chess.com/openings/Nimzowitsch-Defense-Declined,fun_man won by checkmate
177,https://www.chess.com/live/game/2941727552,https://www.chess.com/openings/Queens-Pawn-Opening-Mason-Attack,JCUAce won by resignation
178,https://www.chess.com/live/game/2945145920,https://www.chess.com/openings/Queens-Pawn-Opening-Chigorin-Variation,teja1919tops won by resignation
179,https://www.chess.com/live/game/2968710327,https://www.chess.com/openings/Scandinavian-Defense,fun_man won by resignation
180,https://www.chess.com/live/game/2968715054,https://www.chess.com/openings/Vant-Kruijs-Opening-1...d5,erfantino won by checkmate
181,https://www.chess.com/live/game/2997410363,https://www.chess.com/openings/Kings-Pawn-Opening-Napoleon-Attack,DmitryShaper won by resignation
182,https://www.chess.com/live/game/2999498995,https://www.chess.com/openings/Queens-Pawn-Opening-1...d5-2.e3,febsha won by resignation
183,https://www.chess.com/live/game/3012278793,https://www.chess.com/openings/Vant-Kruijs-Opening,estuardochupina won by resignation
184,https://www.chess.com/live/game/3021506237,https://www.chess.com/openings/Scandinavian-Defense-Closed,m-smart won by checkmate
185,https://www.chess.com/live/game/3124232567,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Damiano-Defense,fun_man won by resignation
186,https://www.chess.com/live/game/3170778492,https://www.chess.com/openings/Van-Geet-Opening-Reversed-Nimzowitsch-Variation-2.e3,NorwegianVikingMoss won by checkmate
187,https://www.chess.com/live/game/3172090254,https://www.chess.com/openings/Bishops-Opening-Khan-Gambit,fun_man won by checkmate
188,https://www.chess.com/live/game/3213479199,https://www.chess.com/openings/Queens-Pawn-Opening-Chigorin-Variation,vinubui won by checkmate
189,https://www.chess.com/live/game/3213520789,https://www.chess.com/openings/Queens-Pawn-Opening-Zukertort-Variation,fun_man won - game abandoned
190,https://www.chess.com/live/game/3213549446,https://www.chess.com/openings/Vienna-Game-Falkbeer-Variation-3.d3,kingston222 won by resignation
191,https://www.chess.com/live/game/3213901191,https://www.chess.com/openings/Bishops-Opening-Philidor-Counterattack,Sbh68 won by resignation
192,https://www.chess.com/live/game/3225438804,https://www.chess.com/openings/Nimzowitsch-Defense-Scandinavian-Bogoljubov-Vehre-Variation,hasan_has won by resignation
193,https://www.chess.com/live/game/3225481174,https://www.chess.com/openings/French-Defense-Classical-Steinitz-Variation,siroky won by resignation
194,https://www.chess.com/live/game/3231382738,https://www.chess.com/openings/French-Defense-Steinitz-Attack,fun_man won on time
195,https://www.chess.com/live/game/3231479900,https://www.chess.com/openings/Nimzowitsch-Defense-Kennedy-Variation,jorgemc21 won by checkmate
196,https://www.chess.com/live/game/3238879608,https://www.chess.com/openings/Ruy-Lopez-Opening-Morphy-Defense-Exchange-Lutikov-Variation,liamtreit won by resignation
